text,label
"Elephants are the only animals that can't jump.","animal"
"A group of flamingos is called a flamboyance.","animal"
"Seahorses are the only animals in which the male gives birth.","animal"
"The fingerprint of a koala is so similar to humans that it has occasionally confused crime scene investigations.","animal"
"Octopuses have three hearts.","animal"
"A snail can sleep for three years.","animal"
"The heart of a shrimp is located in its head.","animal"
"A rhino's horn is made of hair.","animal"
"Butterflies taste with their feet.","animal"
"Crocodiles cannot stick their tongue out.","animal"
"A group of crows is called a murder.","animal"
"Giraffes have no vocal cords.","animal"
"The stripes of each tiger are unique, just like human fingerprints.","animal"
"A shark can detect a drop of blood in an ocean of water.","animal"
"Penguins can leap 6 feet out of the water.","animal"
"The bat is the only mammal that can fly.","animal"
"An ostrich's eye is bigger than its brain.","animal"
"Dolphins call each other by name.","animal"
"Honeybees can recognize human faces.","animal"
"A group of owls is called a parliament.","animal"
"Mercury is the hottest planet in our solar system.","space"
"Venus spins clockwise, unlike most planets.","space"
"Earth's atmosphere protects us from meteoroids and radiation from the sun.","space"
"Mars is home to the tallest mountain in our solar system, Olympus Mons.","space"
"Jupiter has the most moons of any planet in our solar system.","space"
"Saturn's rings are made primarily of ice particles, with a smaller amount of rocky debris and dust.","space"
"Uranus rotates on its side, making it unique among the planets.","space"
"Neptune is the coldest planet in our solar system.","space"
"A day on Pluto is longer than a year on Pluto.","space"
"The Milky Way galaxy is estimated to contain 100-400 billion stars.","space"
"Black holes do not emit light, making them invisible against the backdrop of space.","space"
"The Andromeda Galaxy is on a collision course with the Milky Way.","space"
"The sun is an average-sized star.","space"
"Light from the nearest star to Earth, Proxima Centauri, takes about 4.24 years to reach us.","space"
"The universe is estimated to be about 13.8 billion years old.","space"
"Space is completely silent, as sound waves need a medium to travel through.","space"
"Astronauts grow up to 2 inches taller in space due to the lack of gravity.","space"
"The Hubble Space Telescope can take pictures of galaxies billions of light-years away.","space"
"Saturn is so light it would float in water if there was a bathtub big enough to hold it.","space"
"The temperature in the void of space is about -270.45 degrees Celsius, just above absolute zero.","space"
