text,label
"Elephants are the only animals that can't jump.","animal"
"A group of flamingos is called a flamboyance.","animal"
"Seahorses are the only animals in which the male gives birth.","animal"
"The fingerprint of a koala is so similar to humans that it has occasionally confused crime scene investigations.","animal"
"Octopuses have three hearts.","animal"
"A snail can sleep for three years.","animal"
"The heart of a shrimp is located in its head.","animal"
"A rhino's horn is made of hair.","animal"
"Butterflies taste with their feet.","animal"
"Crocodiles cannot stick their tongue out.","animal"
"A group of crows is called a murder.","animal"
"Giraffes have no vocal cords.","animal"
"The stripes of each tiger are unique, just like human fingerprints.","animal"
"A shark can detect a drop of blood in an ocean of water.","animal"
"Penguins can leap 6 feet out of the water.","animal"
"The bat is the only mammal that can fly.","animal"
"An ostrich's eye is bigger than its brain.","animal"
"Dolphins call each other by name.","animal"
"Honeybees can recognize human faces.","animal"
"A group of owls is called a parliament.","animal"
"Mercury is the hottest planet in our solar system.","space"
"Venus spins clockwise, unlike most planets.","space"
"Earth's atmosphere protects us from meteoroids and radiation from the sun.","space"
"Mars is home to the tallest mountain in our solar system, Olympus Mons.","space"
"Jupiter has the most moons of any planet in our solar system.","space"
"Saturn's rings are made primarily of ice particles, with a smaller amount of rocky debris and dust.","space"
"Uranus rotates on its side, making it unique among the planets.","space"
"Neptune is the coldest planet in our solar system.","space"
"A day on Pluto is longer than a year on Pluto.","space"
"The Milky Way galaxy is estimated to contain 100-400 billion stars.","space"
"Black holes do not emit light, making them invisible against the backdrop of space.","space"
"The Andromeda Galaxy is on a collision course with the Milky Way.","space"
"The sun is an average-sized star.","space"
"Light from the nearest star to Earth, Proxima Centauri, takes about 4.24 years to reach us.","space"
"The universe is estimated to be about 13.8 billion years old.","space"
"Space is completely silent, as sound waves need a medium to travel through.","space"
"Astronauts grow up to 2 inches taller in space due to the lack of gravity.","space"
"The Hubble Space Telescope can take pictures of galaxies billions of light-years away.","space"
"Saturn is so light it would float in water if there was a bathtub big enough to hold it.","space"
"The temperature in the void of space is about -270.45 degrees Celsius, just above absolute zero.","space"
"The Great Wall of China is longer than the distance between London and Beijing.","historical"
"Leonardo da Vinci could write with one hand and draw with the other at the same time.","historical"
"The first computer was invented in the 1940s.","historical"
"Julius Caesar was once kidnapped by pirates who demanded a ransom. Caesar insisted they ask for more.","historical"
"The Library of Alexandria was one of the largest and most significant libraries of the ancient world.","historical"
"Stonehenge is believed to have been a burial ground from its earliest beginnings.","historical"
"The Eiffel Tower was originally intended to be dismantled after 20 years.","historical"
"The Roman Empire was the largest empire of the ancient world.","historical"
"Chess was invented in India.","historical"
"The first known use of the word 'computer' was in 1613 and referred to a human who performed calculations.","historical"
"The first email was sent by Ray Tomlinson to himself in 1971.","technological"
"The World Wide Web was invented by Tim Berners-Lee in 1989.","technological"
"The first smartphone was introduced by IBM in 1994 and was called Simon Personal Communicator.","technological"
"Bitcoin, the first decentralized digital currency, was created in 2009 by an unknown person using the alias Satoshi Nakamoto.","technological"
"The original name of Windows was Interface Manager.","technological"
"3D printing technology has been around since the 1980s.","technological"
"Virtual Reality (VR) technology has been in development since the 1960s.","technological"
"Google was originally called 'Backrub'.","technological"
"Apple's Siri was one of the first modern digital assistants on a smartphone.","technological"
"The first digital camera was invented in 1975 and weighed 8 pounds.","technological"
